;Unnamed: 0;Title;Artist;Year;0;has_lyrics;track_id;genre;language;instrumental;lyrics;sadness;joy;fear;disgust;anger;sentiment
11;11;I Need You;LeAnn Rimes;2000;194;1.0;17366255.0;Country;English;0.0;"I don't need a lot of things

I can get by with nothing
Of all the blessings life can bring
I've always needed something
But I've got all I want
When it comes to loving you
You're my only reason

You're my only truth
I need you like water
Like breath, like rain
I need you like mercy
From heaven's gate
There's a freedom in your arms";0.157346;0.650928;0.152853;0.009844;0.097165;0.590794
12;12;Try Again;Aaliyah;2000;603;1.0;16364504.0;Hip Hop/Rap;English;0.0;"It's been a long time, we shouldn't have left you
Without a dope beat to step to, step to, step to, step to
Step to, step to, freaky-freaky
It's been a long time, we shouldn't have left you
Without a dope beat to step to, step to, step to, step to
Step to, freaky-freaky
Baby girl, oh

What would you do, to get to me?
What would you say, to have your way?
Would you give up, or try again
If I hesitated to let you in?
Now would you be yourself or play your role?
Tell all the boys, I keep it low
If I say no, would you turn away
Or play me off, or would you stay?

And if at first you don't succeed (first you don't succeed),
Then dust yourself off and try again
You can dust it off and try again, try again
'Cause if at first you don't succeed (first you don't succeed),
You can dust it off and try again
Dust yourself off and try again, try again (again again)

I'm into you, you into me
But I can't let it go so easily
Not 'til I see, whether this could be
Could be eternity, or just a week
Ayo our chemistry is off the chain
It's perfect now, but will it change?
This ain't a yes, this ain't a no";0.489212;0.153142;0.11568;0.152726;0.137012;-0.700157
13;13;Music;Madonna;2000;108;1.0;1598934.0;Pop;English;0.0;"Hey, Mister Dj, put a record on
I wanna dance with my lady

Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like to boogie woogie?
Do you like my acid rock?

Hey, Mister DJ, put a record on
I wanna dance with my baby
And when the music starts
I never wanna stop

It's gonna drive me crazy

Music, music, music, music, music

Music makes the people come together";0.028624;0.785104;0.040786;0.048465;0.138482;0.498678
14;14;He Wasn't Man Enough;Toni Braxton;2000;494;1.0;790733.0;R&B/Soul;English;0.0;"Darkchild yeah, oh yeah
Toni Braxton, oh
Ha-ha, uh-huh
Yeah, uh, uh
Darkchild yeah
Listen girl, who do you think I am?
Don't you know that he was my man?
But I chose to let him go
So why do you act like I still care about him?
Looking at me like I'm hurt
When I'm the one who said I didn't want it to work

Don't you forget I had him first!
What you thinkin', stop blaming me
He wasn't man enough for me
If you don't know now here's your chance
I've already had your man
Do you wonder just where he's been, yeah
Do not be worried about him
Now it's time you know the truth

I think he's just the man for you
What are you thinking?
Did you know about us back then?
Do you know I dumped your husband, girlfriend?";0.65079;0.126017;0.132302;0.165219;0.169599;-0.6969
15;15;Higher;Creed;2000;523;1.0;13751897.0;Rock;English;0.0;"When dreaming, I'm guided to another world, time and time again
At sunrise, I fight to stay asleep
'Cause I don't want to leave the comfort of this place
'Cause there's a hunger, a longing to escape
From the life I live when I'm awake
So let's go there, let's make our escape
Come on, let's go there
Let's ask can we stay
Can you take me higher
To a place where blind men see
Can you take me higher
To a place with golden streets
Although I would like our world to change
It helps me to appreciate those nights and those dreams";0.339465;0.497604;0.115231;0.007138;0.121264;0.416657
16;16;Back Here;BBMak;2000;433;1.0;1160694.0;Pop;English;0.0;"Baby set me free from this misery
I can't take it no more
Since you ran away nothing's been the same
Don't know what I'm living for

Here I am so alone
And there's nothing in this world I can do

Until you're back here, baby
Miss you, want you, need you so
Until you're back here, baby, yeah

There's a feeling inside
I want you to know
You are the one
And I can't let you go

So I told you lies even made you cry
Baby I was so wrong
Girl, I promise you now my love is true
This is where my heart belongs";0.763654;0.08902;0.220257;0.017571;0.0944;-0.93227
17;17;Everything You Want;Vertical Horizon;2000;583;1.0;677969.0;Pop;English;0.0;"Somewhere there's speaking
It's already coming in
Oh and it's rising at the back of your mind
You never could get it
Unless you were fed it
Now you're here and you don't know why

But under skinned knees and the skid marks
Past the places where you used to learn
You howl and listen
Listen and wait for the

Echoes of angels who won't return

He's everything you want
He's everything you need
He's everything inside of you
That you wish you could be
He says all the right things
At exactly the right time

But he means nothing to you
And you don't know why
";0.336562;0.387274;0.093693;0.031655;0.294401;-0.754941
18;18;Desert Rose;Sting Featuring Cheb Mami;2000;306;1.0;31052140.0;Pop;English;0.0;"ليلي ياليلي ياليلي

هدي مودا طويلى
و أنا نحوس علا غزالتي
و أنا نحوس علا غزالتي
و أنا نحوس علا غزالي

I dream of rain
I dream of gardens in the desert sand
I wake in vain
I dream of love as time runs through my hand

I dream of fire
Those dreams are tied to a horse that will never tire
And in the flames
Her shadows play in the shape of a man's desire

This desert rose";;;;;;
19;19;Let's Get Married;Jagged Edge;2000;371;1.0;792908.0;Pop;English;0.0;"See, first of all
I know these so called playas wouldn't tell you this
But I'ma be real and say what's on my heart
Let's take this chance and make this love feel relevant
Didn't you know I loved you from the start? Yeah

When I think about
All the years we've put in this relationship
Who knew we'd make it this far?
Then I think about
Where would I be if we were to just fall apart
And I can't stand the thought of losing you

Meet me at the altar in your white dress
We ain't getting no younger, we might as well do it
Been feeling you all the while girl, I must confess
Girl let's just get married, I just wanna get married

Meet me at the altar in your white dress
We ain't getting no younger, we might as well do it
Been feeling you all the while girl, I must confess
Let's get married
Baby, let's get married

Said I done it all";0.183444;0.572717;0.093799;0.092424;0.153651;-0.673101
20;20;Callin' Me;Lil' Zane Featuring 112;2000;58;1.0;35458655.0;;English;0.0;"I live the life of a celebrity
A made figga way bigger than them other cats you love to see

Lil Zane (112)
(yeah, yeah, yeah, yeah)
(so crazy life's so, crazy)

I live the life of a celebrity
A made figga way bigger than them other cats you love to see
I'm getting paid like I'm supposed to
My homies call me on my mobile wanna hang we still close too
I switched positions with them cold cats
I write raps, make millions like that
I like that (hey yeah) really never was a rich man
A rubber band for a wrist band
Got dough and had to switch plans
Trouble still don't stop
The freeway getting chased by some bad missies
Wanting autographed pictures (oohh)
They want my name tattooed on them
Thinkin for a minute hit that ass make a move on them
Hey! Hennessey with the chardonnay, mix it
I put the trees in the Garcay, twist it (whooaa yeah)
A true player smoking purple haze
Two shots in the air for my true thugs out there
(This life I live of mine)
";0.365747;0.210121;0.273487;0.122826;0.194571;0.510446
21;21;Wonderful;Everclear;2000;142;1.0;36643049.0;;English;0.0;"I close my eyes when I get too sad
I think thoughts that I know are bad
Close my eyes and I count to ten
Hope it's over when I open them

I want the things that I had before
Like a Star Wars poster on my bedroom door
I wish I could count to ten
And make everything be wonderful again

I hope my mom and I hope my dad
Will figure out why they get so mad
I hear them scream, I hear them fight
They say bad words that makes me want to cry

Close my eyes when I go to bed and I
Dream of angels who make me smile
I feel better when I hear them say that
Everything will be wonderful some day

Promises mean everything
When you're little and the world is so big
I just don't understand how
You can smile with all those tears in your eyes
When you tell me everything is wonderful now

Please don't tell me everthing is wonderful now";0.76899;0.085656;0.270978;0.005113;0.067444;-0.932207
22;22;Come On Over Baby (All I Want Is You);Christina Aguilera;2000;60;1.0;17857150.0;Pop;English;0.0;"Come on over, come on over baby Yeah, yeah, yeah, yeah

Hey boy don't you know
I got something going on
I've got an invitation
Don't you keep me waiting all night long

I know, you know, so baby don't
Pretend you won't, keep me guessing if you
You will or you won't
Don't wanna play that game with you baby
Said listen to me

All I want is you, come over here baby
All I want is you, you know you make me go crazy
All I want is you, now baby don't be shy
You better cross the line
I'm gonna love you right
'Cause all I want is you

Come on over, come on over baby Ohh... yeah yeah

I'm not just talking
About your sexuality (your sexuality)
But I can't help myself";0.184053;0.577106;0.193341;0.018512;0.114299;-0.918462
23;23;Bounce With Me;Lil Bow Wow Featuring Xscape;2000;46;1.0;17701862.0;;English;0.0;"Bounce With Me
(JD)(Lil Bow Wow)
Uh-huh, yo
(Oh, oh)
Uh-huh, yo
(Uh-huh, oh, oh)
Uh-huh, yo
(Bounce, bounce)
See around here
(Uh-huh, uh, huh-uh)
I make things that make y'all bounce
Ya know?
Heh, ya know what I mean?
(Yeah, yeah)
Left to right, right to left
(Uh-huh, uh-huh)
It's So So Def
(Yeah uh)
And uh it's going down
Ya know what I mean?
(Yeah)
My man Bow Wow
(Bow Wow, yeah hear me now)
Yeah ya heard?
(Check it out)
Let's go! Let's go! Let's go!
(Peep game, let's go)

(Lil Bow Wow)
Around here we pop them collars
Around here we get them dollars
Every girl I see that look right
A nigga like me just gotta holla
This kid here all about stackin up
Got big head but we can back it up
Long cause everybody get crunk";0.194481;0.530773;0.089664;0.081264;0.067078;0.451717
