,Title,Artist,Year
0,Totally Hits 2002,Various Artists,2002
1,Mad Season,matchbox twenty,2000
2,Now 10,Various Artists,2002
3,The Better Life,3 Doors Down,2000
4,Believe,Justin Bieber,2012
5,÷ (Divide),Ed Sheeran,2017
6,NOW 34,Various Artists,2010
7,The 20/20 Experience,Justin Timberlake,2013
8,Evolve,Imagine Dragons,2017
9,By The Way,Red Hot Chili Peppers,2002
10,In Your Honor,Foo Fighters,2005
11,Moulin Rouge,Soundtrack,2001
12,Welcome To The Fishbowl,Kenny Chesney,2012
13,Taking The Long Way,Dixie Chicks,2006
14,The Twilight Saga: Eclipse,Soundtrack,2010
15,The Reason,Hoobastank,2004
16,Fearless,Taylor Swift,2009
17,NOW 25,Various Artists,2007
18,Break The Cycle,Staind,2001
19,My Kinda Party,Jason Aldean,2011
20,Born Sinner,J. Cole,2013
21,Mezmerize,System Of A Down,2005
22,Confessions,Usher,2004
23,The Hunger For More,Lloyd Banks,2004
24,Magna Carta... Holy Grail,JAY-Z,2013
25,Night Visions,Imagine Dragons,2013
26,?,XXXTENTACION,2018
27,Relapse,Eminem,2009
28,Bad Boys II,Soundtrack,2003
29,Jagged Little Thrill,Jagged Edge,2001
30,Before This World,James Taylor,2015
31,Need You Now,Lady Antebellum,2010
32,The History Of Rock,Kid Rock,2000
33,The Fame,Lady Gaga,2010
34,Breakout,Miley Cyrus,2008
35,Cars,Soundtrack,2006
36,The Dutchess,Fergie,2007
37,More Life,Drake,2017
38,Thank Me Later,Drake,2010
39,ANTI,Rihanna,2016
40,Monkey Business,The Black Eyed Peas,2005
41,Invasion Of Privacy,Cardi B,2018
42,The Saga Continues...,P. Diddy & The Bad Boy Family,2001
43,Hannah Montana 2 (Soundtrack)/Meet Miley Cyrus,Miley Cyrus,2007
44,Ashanti,Ashanti,2002
45,Platinum,Miranda Lambert,2014
46,The Fame,Lady Gaga,2009
47,Dance With My Father,Luther Vandross,2003
48,Hell: The Sequel (EP),Bad Meets Evil,2011
49,Scorpion,Drake,2018
50,Moana,Soundtrack,2017
51,Love On The Inside,Sugarland,2008
52,A Girl Like Me,Rihanna,2006
53,Teen Beach Movie,Soundtrack,2013
54,Back To Black,Amy Winehouse,2007
55,Devil's Night,D12,2001
56,Kidz Bop 22,Kidz Bop Kids,2012
57,P. Diddy & Bad Boy Records Present... We Invented The Remix,Various Artists,2002
58,No Strings Attached,'N Sync,2000
59,Dangerously In Love,Beyonce,2003
60,Recovery,Eminem,2010
61,Leave This Town,Daughtry,2009
62,Only By The Night,Kings Of Leon,2009
63,Tha Carter III,Lil Wayne,2008
64,Views,Drake,2016
65,Overexposed,Maroon 5,2012
66,21st Century Breakdown,Green Day,2009
67,21,Adele,2012
68,NOW 31,Various Artists,2009
69,Here's To The Good Times,Florida Georgia Line,2013
70,[Hybrid Theory],Linkin Park,2001
71,Big Whiskey And The GrooGrux King,Dave Matthews Band,2009
72,Good Girl Gone Bad,Rihanna,2008
73,Now 6,Various Artists,2001
74,Loose,Nelly Furtado,2006
75,Survivor,Destiny's Child,2001
76,Honkytonk University,Toby Keith,2005
77,2 Fast 2 Furious,Soundtrack,2003
78,Thank You,Meghan Trainor,2016
79,D12 World,D12,2004
80,Me And My Gang,Rascal Flatts,2006
81,NOW 28,Various Artists,2008
82,4:44,JAY-Z,2017
83,Celebrity,'N Sync,2001
84,Get Rich Or Die Tryin',50 Cent,2003
85,Untouchables,Korn,2002
86,The Emancipation Of Mimi,Mariah Carey,2005
87,Human Clay,Creed,2000
88,License To Chill,Jimmy Buffett,2004
89,This Is Country Music,Brad Paisley,2011
90,Dreams Worth More Than Money,Meek Mill,2015
91,DAMN.,Kendrick Lamar,2017
92,BLACKsummers'night,Maxwell,2009
93,Goodbye & Good Riddance,Juice WRLD,2018
94,Red River Blue,Blake Shelton,2011
95,Yeezus,Kanye West,2013
96,Chapter II,Ashanti,2003
97,Unleashed,Toby Keith,2002
98,4,Beyonce,2011
99,Kidz Bop 20,Kidz Bop Kids,2011
100,Infest,Papa Roach,2000
101,Stadium Arcadium,Red Hot Chili Peppers,2006
102,Minutes To Midnight,Linkin Park,2007
103,Nutty Professor II: The Klumps,Soundtrack,2000
104,NOW 50,Various Artists,2014
105,The E.N.D.,The Black Eyed Peas,2009
106,x,Ed Sheeran,2014
107,EVERYTHING IS LOVE,The Carters,2018
108,Lemonade,Beyonce,2016
109,The Marshall Mathers LP,Eminem,2000
110,Memory Almost Full,Paul McCartney,2007
111,Harder Than Ever,Lil Baby,2018
112,Camp Rock,Soundtrack,2008
